,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
4948,11, 10, HORSE SUPREMO, (S055), K K Chiong, A T Millard, 117, 1150, 8, 11-1/2, 0.59.38, 48,20160907,20160907_2
4949,2, 1, TRUMP, (P106), U Rispoli, T K Ng, 133, 1144, 6, 1/2, 0.57.64, 12,20160907,20160907_2
4950,4, 2, BEAUTY CONNECTION, (T415), N Callan, A S Cruz, 132, 1134, 5, 1-1/2, 0.57.81, 3.5,20160907,20160907_2
4951,6, 6, LUNAR ZEPHYR, (V385), M L Yeung, T P Yung, 123, 1054, 12, 2-3/4, 0.57.98, 15,20160907,20160907_2
4952,8, 12, RUGBY DIAMOND, (S432), M Chadwick, W Y So, 115, 1038, 11, 4-1/2, 0.58.24, 26,20160907,20160907_2
4953,10, 4, CROWN AVENUE, (V378), C Y Ho, C H Yip, 128, 1134, 9, 6-1/4, 0.58.55, 99,20160907,20160907_2
4954,12, 8, TRENDIFUL, (S185), J Moreira, C W Chang, 124, 1148, 10, 23-3/4, 1.01.34, 7.9,20160907,20160907_2
4955,1, 6, MUTUAL JOY, (T282), N Callan, L Ho, 126, 1049, 10, -, 1.40.73, 5.9,20160907,20160907_3
4956,3, 5, MIDNITE PROMISE, (S379), Z Purton, T K Ng, 127, 1030, 5, N, 1.40.79, 3.4,20160907,20160907_3
4957,5, 8, AMAZING ALWAYS, (N432), M Chadwick, D E Ferraris, 119, 1171, 2, 1-3/4, 1.41.01, 51,20160907,20160907_3
4958,7, 9, DON WONGCHOY, (V259), K Teetan, Y S Tsui, 119, 1054, 8, 6-3/4, 1.41.79, 15,20160907,20160907_3
4959,9, 11, HASTILY FEET, (T259), H W Lai, W Y So, 117, 1145, 4, 6-3/4, 1.41.82, 17,20160907,20160907_3
4960,WV, 3, IMPERIAL SEAL, (T223), J Moreira, C Fownes, 132, 1106, ---, ---,,,20160907,20160907_3
4961,2, 10, SUM WIN DRAGON, (S148), M L Yeung, A Lee, 117, 1072, 7, SH, 1.40.75, 5,20160907,20160907_3
4962,4, 1, AMAZING FEELING, (V031), U Rispoli, R Gibson, 133, 1115, 9, 3/4, 1.40.85, 6.5,20160907,20160907_3
4963,6, 7, CASH COURIER, (S417), K C Leung, K L Man, 118, 1195, 1, 2-3/4, 1.41.18, 5.8,20160907,20160907_3
4964,8, 2, LUCKY PROFIT, (S335), H N Wong, C S Shum, 126, 1145, 6, 6-3/4, 1.41.80, 14,20160907,20160907_3
4965,10, 4, ELITE EXPRESS, (T344), C Y Ho, P F Yiu, 126, 1135, 3, 11-3/4, 1.42.60, 99,20160907,20160907_3
4966,1, 4, EXCELLENCE, (T314), Z Purton, A Lee, 122, 1058, 4, -, 1.40.69, 3.3,20160907,20160907_4
4967,3, 2, CASA MASTER, (T160), J Moreira, C S Shum, 128, 1184, 6, 2-1/4, 1.41.06, 3.6,20160907,20160907_4
4968,5, 6, MEGATRON, (V119), K Teetan, P F Yiu, 121, 1066, 11, 3, 1.41.16, 11,20160907,20160907_4
4969,7, 10, SMART SALUTE, (V117), H N Wong, Y S Tsui, 109, 1105, 9, 3-1/2, 1.41.25, 12,20160907,20160907_4
4970,9, 7, ROBUST MOMENTUM, (P422), O Doleuze, C Fownes, 121, 1218, 5, 4-3/4, 1.41.45, 15,20160907,20160907_4
4971,11, 8, ROCKET LET WIN, (P330), C Y Ho, D Cruz, 119, 1122, 7, 7, 1.41.81, 99,20160907,20160907_4
4972,2, 9, SOUL ACHIEVER, (S133), D Whyte, A T Millard, 118, 1157, 3, HD, 1.40.72, 9,20160907,20160907_4
4973,4, 12, GOBI STORM, (A101), M Chadwick, A S Cruz, 115, 1083, 8, 2-1/2, 1.41.10, 12,20160907,20160907_4
4974,6, 3, GREAT TREASURE, (T380), H W Lai, A Lee, 125, 1009, 2, 3-1/2, 1.41.25, 6.6,20160907,20160907_4
4975,8, 11, EASTERN PROWESS, (V295), T H So, L Ho, 113, 1014, 1, 4-1/2, 1.41.41, 99,20160907,20160907_4
4976,10, 1, SPARKLING SWORD, (P256), K K Chiong, K W Lui, 128, 1188, 10, 5-1/4, 1.41.51, 26,20160907,20160907_4
4977,WV, 5, KIROV, (S277), S Clipperton, D J Hall, 122, -, ---, ---,,,20160907,20160907_4
4978,1, 2, ARM RUNDA, (V248), O Doleuze, J Size, 132, 1169, 5, -, 1.10.14, 12,20160907,20160907_5
4979,3, 8, HOT HOT PEPPER, (V026), Z Purton, P O'Sullivan, 125, 1142, 4, 1-1/2, 1.10.37, 4.8,20160907,20160907_5
4980,5, 11, UNLEASHED DRAGON, (V205), K C Leung, R Gibson, 119, 1090, 2, 2, 1.10.47, 15,20160907,20160907_5
4981,7, 9, SKY TREASURE, (V401), C Y Ho, Y S Tsui, 120, 1065, 1, 3-1/2, 1.10.70, 99,20160907,20160907_5
4982,9, 4, MASTER VIKING, (S385), K K Chiong, A T Millard, 126, 1166, 10, 6-3/4, 1.11.24, 31,20160907,20160907_5
4983,11, 5, FOREVER ACCURATE, (S301), H N Wong, C H Yip, 122, 1135, 11, 15-1/2, 1.12.63, 95,20160907,20160907_5
4984,2, 3, HIGH VOLATILITY, (V081), J Moreira, K W Lui, 132, 1157, 8, HD, 1.10.17, 3.1,20160907,20160907_5
4985,4, 10, CONTRIBUTION, (A146), D Whyte, A S Cruz, 121, 1164, 3, 1-3/4, 1.10.44, 2.5,20160907,20160907_5
4986,6, 1, COUR VALANT, (P190), K Teetan, D Cruz, 133, 1048, 9, 2, 1.10.47, 17,20160907,20160907_5
4987,8, 6, LEOWL, (S295), M L Yeung, P F Yiu, 127, 1125, 7, 4-1/2, 1.10.87, 87,20160907,20160907_5
4988,10, 12, HAPPY GAINS, (V252), H W Lai, K L Man, 116, 1105, 6, 7, 1.11.27, 64,20160907,20160907_5
4989,12, 7, SIGHT SEEING, (S291), N Callan, W Y So, 126, 1128, 12, 16, 1.12.71, 49,20160907,20160907_5
4990,1, 11, ALL MY GAIN, (T018), K C Leung, T P Yung, 116, 1096, 4, -, 1.10.25, 9.1,20160907,20160907_6
4991,3, 8, VARA PEARL, (S138), M Chadwick, A T Millard, 123, 1047, 5, 1-3/4, 1.10.54, 17,20160907,20160907_6
4992,5, 6, OUR HERO, (V278), S Clipperton, C S Shum, 125, 1275, 7, 2-1/4, 1.10.63, 8.7,20160907,20160907_6
4993,7, 10, APPLAUSE, (A023), H W Lai, K L Man, 121, 1078, 1, 3-3/4, 1.10.84, 99,20160907,20160907_6
4994,9, 2, IRON BOY, (V071), U Rispoli, K W Lui, 132, 1197, 9, 4-1/2, 1.10.97, 12,20160907,20160907_6
4995,11, 9, A BEAUTIFUL, (T421), T H So, W Y So, 120, 1059, 3, 5, 1.11.06, 12,20160907,20160907_6
4996,2, 12, GENEROUS HEART, (V394), K Teetan, C H Yip, 117, 1088, 2, N, 1.10.29, 4.3,20160907,20160907_6
4997,4, 4, LAMAROSA, (V093), Z Purton, P O'Sullivan, 131, 1200, 11, 2, 1.10.56, 11,20160907,20160907_6
4998,6, 1, FANTASTIC FEELING, (T273), D Whyte, D E Ferraris, 133, 1223, 8, 3-1/2, 1.10.81, 17,20160907,20160907_6
4999,8, 7, HAPPY CHEERS, (V297), C Y Ho, C Fownes, 122, 1087, 10, 4, 1.10.88, 52,20160907,20160907_6
5000,10, 5, I'M A WITNESS, (T405), J Moreira, A S Cruz, 125, 1104, 6, 5, 1.11.05, 2.8,20160907,20160907_6
